"Iperzola Ponteroncariale","{'Italy': 14}"
"P.A.O.K.","{'Australia': 3, 'Germany': 2, 'Georgia': 9, 'Greece': 34, 'Israel': 2, 'Lao People\'s Democratic Republic': 2, 'Oman': 4, 'Romania': 3, 'Serbia': 2, 'Turkey': 3}"
"1. FC Köln","{'Brazil': 2, 'Germany': 22, 'Luxembourg': 2, 'Norway': 2, 'England': 3, 'Scotland': 3, 'Russia': 18}"
"Olympique de Valence","{'France': 14}"
"VfB Leipzig","{'Austria': 8, 'Belgium': 2, 'Switzerland': 4, 'Germany': 32, 'Denmark': 2, 'Spain': 4, 'France': 6, 'Hungary': 6, 'Ireland': 12, 'Italy': 6, 'Netherlands': 2, 'Norway': 4, 'Oman': 2, 'Portugal': 2, 'Romania': 3, 'Sweden': 2, 'England': 15, 'Scotland': 9, 'Wales': 3, 'Northern Ireland': 12, 'Yugoslavia': 6}"
"UNTL Kaduna","{}"
"Club Atlético Central Córdoba","{'Argentina': 16}"
"FC Kryvbas Kryvyi Rih (1959-2013)","{'Jersey': 3, 'Ukraine': 72, 'Russia': 3}"
"New York Shipbuilding","{'Guam': 6, 'India': 4, 'Jersey': 21, 'Japan': 9, 'Mexico': 2, 'Mongolia': 3, 'United States': 19, 'Scotland': 3, 'America': 33}"
"Herfølge Boldklub","{'Denmark': 8}"
"Grenoble Foot 38","{'China': 4, 'France': 46, 'Japan': 6, 'Monaco': 10}"
"Čechie Karlín","{'Czechia': 2, 'Slovakia': 4}"
"Macclesfield Town F.C.","{'Germany': 4, 'United Kingdom': 2, 'Ireland': 9, 'Japan': 3, 'Norway': 2, 'England': 33, 'Wales': 6, 'Northern Ireland': 6}"
"Fortuna Sittard","{'Austria': 4, 'Bosnia and Herzegovina': 2, 'Congo': 3, 'Germany': 6, 'Spain': 4, 'Finland': 2, 'Greece': 2, 'Jordan': 2, 'Moldova, Republic of': 1, 'Niger': 2, 'Nigeria': 2, 'Netherlands': 98, 'Poland': 2, 'Portugal': 2, 'Slovakia': 2, 'Sweden': 2, 'England': 3, 'Yugoslavia': 3}"
"Como Calcio 1907","{'Australia': 3, 'Austria': 4, 'Bulgaria': 4, 'Brazil': 2, 'France': 2, 'Ghana': 2, 'Indonesia': 2, 'Ireland': 6, 'Italy': 62, 'Oman': 2, 'Northern Ireland': 3}"
"FC Arsenal Tula","{'Armenia': 2, 'Azerbaijan': 2, 'Burkina Faso': 3, 'Bulgaria': 6, 'Bosnia and Herzegovina': 2, 'Belarus': 14, 'Costa Rica': 2, 'Georgia': 6, 'Ghana': 2, 'Kazakhstan': 4, 'Lithuania': 2, 'Latvia': 2, 'Moldova, Republic of': 1, 'Mali': 2, 'Montenegro': 15, 'Oman': 4, 'Romania': 6, 'Serbia': 2, 'Slovakia': 4, 'Tajikistan': 6, 'Ukraine': 21, 'Zambia': 6, 'America': 3, 'Russia': 324}"
"Ferro Carril","{}"
"FC Tekstilshchik Kamyshin","{'Kazakhstan': 10, 'Latvia': 2, 'Ukraine': 6, 'Russia': 51}"
"Napier City Rovers FC","{'Fiji': 2, 'New Zealand': 57}"
"FC 08 Homburg","{'Germany': 12, 'France': 2, 'Guinea': 2, 'Greece': 2}"
"FC Aarau","{'Austria': 2, 'Switzerland': 10, 'Cyprus': 2, 'Germany': 2, 'Denmark': 2, 'Estonia': 2, 'Italy': 2, 'Portugal': 2, 'Slovenia': 2, 'Yugoslavia': 3}"
"FC Ljubljana","{'Slovenia': 28}"
"HNK Borovo","{'Croatia': 20, 'Serbia': 6, 'Yugoslavia': 9}"
"Lisburn Distillery F.C.","{'Spain': 2, 'Finland': 2, 'Georgia': 3, 'Ireland': 36, 'Lithuania': 2, 'Portugal': 2, 'Northern Ireland': 30}"
"Bangor F.C.","{'Cyprus': 2, 'Ireland': 72, 'Jordan': 2, 'Slovakia': 4, 'England': 6, 'Scotland': 12, 'Northern Ireland': 63}"
"US Belfort","{}"
"Sport Club do Recife","{'Argentina': 2, 'Brazil': 62, 'Jordan': 2, 'Oman': 4, 'Paraguay': 2, 'England': 3, 'America': 30}"
"Al-Gharafa Doha","{'United Arab Emirates': 12, 'Australia': 6, 'Bahrain': 8, 'Brazil': 12, 'Costa Rica': 4, 'Egypt': 8, 'France': 4, 'Iran, Islamic Republic of': 4, 'Iraq': 8, 'Jordan': 2, 'Kuwait': 8, 'Morocco': 4, 'Mexico': 4, 'Netherlands': 4, 'Oman': 4, 'Portugal': 2, 'Qatar': 188, 'Saudi Arabia': 12, 'Sudan': 2, 'Slovakia': 4, 'Syrian Arab Republic': 1, 'Uzbekistan': 2}"
"Kalmar FF","{'Austria': 2, 'Azerbaijan': 2, 'Belgium': 2, 'Bulgaria': 2, 'Brazil': 8, 'Denmark': 4, 'France': 2, 'Hungary': 9, 'Ireland': 3, 'Luxembourg': 8, 'Niger': 2, 'Nigeria': 2, 'Portugal': 2, 'Sweden': 88, 'England': 3, 'Wales': 3}"
"Székesfehérvári MÁV Előre SC","{'Hungary': 18}"
"Vigevano Calcio","{'Italy': 10}"
"Royal Eagles F.C.","{'South Africa': 8}"
"NK Borovo","{'Croatia': 20, 'Serbia': 6, 'Yugoslavia': 9}"
"Würzburger FV","{'Germany': 6}"
"AEK Athens F.C.","{'Australia': 3, 'Austria': 10, 'Belgium': 2, 'Bosnia and Herzegovina': 2, 'Brazil': 6, 'Colombia': 2, 'Cyprus': 8, 'Germany': 2, 'Spain': 2, 'France': 2, 'United Kingdom': 2, 'Georgia': 3, 'Greece': 180, 'Croatia': 4, 'Iceland': 4, 'Jersey': 6, 'Lao People\'s Democratic Republic': 2, 'Monaco': 4, 'Mali': 2, 'Oman': 2, 'Portugal': 4, 'Serbia': 6, 'Slovakia': 2, 'Uruguay': 2, 'England': 9, 'Scotland': 3, 'Yugoslavia': 9, 'Turkey': 3, 'Russia': 12}"
"African Wanderers","{'South Africa': 12, 'America': 3}"
"SK České Budějovice","{'Austria': 2, 'Czechia': 6, 'Hungary': 3, 'Iran, Islamic Republic of': 1, 'Oman': 4, 'Slovakia': 2}"
"Grasshopper Club Zürich","{'Albania': 4, 'Argentina': 8, 'Austria': 14, 'Bulgaria': 2, 'Bosnia and Herzegovina': 4, 'Switzerland': 138, 'China': 4, 'Germany': 24, 'Ecuador': 2, 'Estonia': 2, 'France': 2, 'Guinea': 2, 'Hong Kong': 2, 'Croatia': 2, 'Hungary': 9, 'Iran, Islamic Republic of': 1, 'Italy': 2, 'Japan': 6, 'Moldova, Republic of': 1, 'Niger': 4, 'Nigeria': 4, 'Netherlands': 4, 'New Zealand': 3, 'Oman': 8, 'Peru': 2, 'Poland': 2, 'Portugal': 4, 'Romania': 9, 'Senegal': 4, 'Slovakia': 2, 'Sweden': 6, 'Zimbabwe': 2, 'England': 3, 'Scotland': 3, 'Yugoslavia': 12}"
"Uberlândia Esporte Clube","{'Brazil': 14, 'America': 6}"
"FC Volendam","{'Germany': 6, 'Iran, Islamic Republic of': 1, 'Netherlands': 102, 'England': 3, 'Wales': 3}"
"FK Teleoptik","{'Montenegro': 12, 'Serbia': 102, 'Yugoslavia': 42}"
"Esporte Clube XV de Novembro (Jaú)","{'Brazil': 20, 'America': 3}"
"A.C. ChievoVerona","{'Albania': 4, 'Argentina': 2, 'Bulgaria': 6, 'Switzerland': 2, 'Chile': 2, 'Congo': 5, 'Colombia': 2, 'Germany': 2, 'Finland': 4, 'France': 2, 'Ghana': 2, 'Greece': 4, 'Italy': 52, 'Mali': 2, 'Montenegro': 6, 'Niger': 4, 'Nigeria': 4, 'Netherlands': 2, 'Peru': 2, 'Poland': 2, 'Portugal': 2, 'Paraguay': 2, 'Senegal': 2, 'Serbia': 4, 'Slovakia': 2, 'Slovenia': 6, 'Sweden': 4, 'Togo': 4, 'United States': 2}"
"Újpesti Dózsa FC","{'Belgium': 8, 'Colombia': 2, 'Spain': 2, 'Hungary': 54, 'Iran, Islamic Republic of': 2, 'North Macedonia': 2, 'Mali': 4, 'Montenegro': 3, 'Niger': 4, 'Nigeria': 4, 'Senegal': 2, 'Serbia': 8, 'England': 3, 'America': 3}"
"Borussia Dortmund","{}"
"AS Roma","{'Albania': 2, 'Argentina': 14, 'Bosnia and Herzegovina': 2, 'Czechia': 2, 'Germany': 2, 'Spain': 6, 'France': 70, 'Greece': 4, 'Hungary': 18, 'Iran, Islamic Republic of': 1, 'Italy': 210, 'Oman': 42, 'Portugal': 6, 'Qatar': 8, 'Sweden': 12, 'Uruguay': 2, 'United States': 4, 'England': 18, 'America': 15, 'Yugoslavia': 3, 'Russia': 3}"
"Kavala F.C.","{'Bulgaria': 2, 'Brazil': 2, 'Canada': 3, 'Greece': 132, 'North Macedonia': 4, 'Niger': 2, 'Nigeria': 2, 'Poland': 6, 'Serbia': 4}"
"SG Wattenscheid 09","{'Germany': 6, 'Oman': 2, 'Russia': 3}"
"Providence Clamdiggers (soccer)","{'England': 3, 'America': 27}"
"Arsenal de Sarandí","{'Argentina': 26, 'Bolivia, Plurinational State of': 1, 'Brazil': 4, 'Germany': 4, 'Japan': 3, 'Mexico': 4, 'America': 45}"
"SR Donaufeld","{}"
"Kawasaki Frontale","{'Brazil': 24, 'Spain': 2, 'Iran, Islamic Republic of': 1, 'Japan': 333, 'Korea, Republic of': 1, 'Malaysia': 6, 'America': 3, 'South Korea': 3}"
"C.S. Marítimo B","{'China': 2, 'Portugal': 24}"
"Moroka Swallows F.C.","{'Austria': 2, 'Brazil': 4, 'Germany': 2, 'Portugal': 2, 'Paraguay': 2, 'South Africa': 72, 'Zimbabwe': 2, 'England': 6, 'Russia': 3}"
"Sporting de Gijón","{'Belgium': 4, 'Spain': 32, 'Italy': 2, 'Jersey': 6, 'Portugal': 2}"
"Glentoran F.C.","{'Belgium': 6, 'Bulgaria': 4, 'Switzerland': 2, 'Czechia': 1, 'Denmark': 2, 'Spain': 2, 'Finland': 6, 'France': 4, 'Faroe Islands': 3, 'United Kingdom': 2, 'Greece': 2, 'Ireland': 138, 'Iceland': 10, 'Israel': 4, 'Italy': 2, 'Jordan': 2, 'Luxembourg': 2, 'Latvia': 2, 'Malta': 6, 'Montenegro': 3, 'Netherlands': 2, 'Norway': 6, 'Oman': 4, 'Poland': 2, 'Portugal': 2, 'Romania': 6, 'San Marino': 2, 'Slovakia': 4, 'Sweden': 4, 'Ukraine': 3, 'England': 18, 'Scotland': 27, 'Wales': 3, 'Northern Ireland': 111, 'America': 9, 'Russia': 6}"
"Limerick F.C.","{'Bulgaria': 2, 'Switzerland': 2, 'Spain': 2, 'Ireland': 237, 'Italy': 2, 'Jersey': 9, 'Netherlands': 2, 'United States': 2, 'England': 21, 'Scotland': 12, 'Wales': 3, 'Northern Ireland': 12}"
"Al-Wakrah Sport Club","{'Iraq': 4, 'Oman': 2, 'Qatar': 54}"
"Free State Stars F.C.","{'Chile': 2, 'Congo': 6, 'Oman': 2, 'South Africa': 34, 'Zambia': 2}"
"Zalaegerszegi TE","{'Austria': 2, 'Switzerland': 2, 'Denmark': 2, 'Croatia': 6, 'Hungary': 111, 'Iran, Islamic Republic of': 2, 'Poland': 2, 'Serbia': 2, 'England': 3, 'Russia': 3}"
"Los Angeles FC","{'Germany': 2, 'Jersey': 24, 'Malaysia': 3, 'Oman': 2, 'Chad': 2, 'Uruguay': 2, 'United States': 8, 'America': 21}"
"Al Mokawloon Al Arab SC","{'Austria': 2, 'Cameroon': 2, 'Germany': 2, 'Egypt': 164, 'Ghana': 2, 'Sierra Leone': 2, 'Serbia': 2}"
"Wildcats A.C.","{}"
"CEUB","{'Brazil': 8}"
"US Orléans","{'France': 32, 'Luxembourg': 2, 'Monaco': 4, 'Oman': 2, 'Romania': 3, 'Serbia': 2, 'Chad': 2}"
"AC Fiorentina","{'Argentina': 6, 'Austria': 4, 'Brazil': 6, 'Chile': 6, 'Spain': 2, 'France': 10, 'Hungary': 27, 'Italy': 192, 'Jersey': 3, 'Morocco': 2, 'Peru': 4, 'Portugal': 2, 'Serbia': 2, 'Sweden': 4, 'Uruguay': 2, 'America': 3, 'Turkey': 3}"
"Porin Pallotoverit","{'Brazil': 24, 'Cyprus': 4, 'Germany': 2, 'Denmark': 2, 'Spain': 4, 'Estonia': 2, 'Finland': 246, 'France': 2, 'Faroe Islands': 3, 'Ghana': 4, 'Gambia': 2, 'Iran, Islamic Republic of': 5, 'Italy': 2, 'Korea, Republic of': 1, 'Niger': 6, 'Nigeria': 4, 'Netherlands': 2, 'New Zealand': 3, 'Oman': 2, 'Peru': 2, 'Romania': 3, 'El Salvador': 2, 'Sweden': 2, 'England': 6, 'Wales': 6, 'South Korea': 3, 'Russia': 3}"
"Club de Deportes Santiago Morning","{'Argentina': 10, 'Chile': 156, 'Spain': 2, 'Uruguay': 2}"
"Louletano D.C.","{'Guinea': 2, 'Portugal': 18}"
"FC Dnipro","{'Brazil': 4, 'Germany': 8, 'Spain': 4, 'France': 4, 'Croatia': 2, 'India': 8, 'Italy': 2, 'Jersey': 3, 'Portugal': 2, 'Turkmenistan': 3, 'Ukraine': 138, 'Russia': 12}"
"CD Baio","{}"
"Foresta Sighet","{'Oman': 38, 'Romania': 51, 'Ukraine': 3}"
"SK Sturm Graz","{'Andorra': 2, 'Austria': 178, 'Belgium': 4, 'Bulgaria': 4, 'Bosnia and Herzegovina': 4, 'Belarus': 4, 'Switzerland': 10, 'Cyprus': 4, 'Czechia': 2, 'Germany': 20, 'Spain': 6, 'Finland': 2, 'France': 6, 'Georgia': 6, 'Greece': 8, 'Croatia': 12, 'Hungary': 24, 'Iceland': 2, 'Israel': 4, 'Italy': 10, 'Monaco': 12, 'Montenegro': 6, 'Netherlands': 8, 'Norway': 2, 'Oman': 6, 'Romania': 6, 'Serbia': 2, 'Slovakia': 2, 'Slovenia': 6, 'Ukraine': 6, 'England': 15, 'Scotland': 6, 'Turkey': 9, 'Russia': 12}"
"Rosenborg BK","{'Azerbaijan': 2, 'Belgium': 2, 'Hungary': 3, 'Ireland': 3, 'Netherlands': 2, 'Norway': 204, 'Peru': 2, 'Sweden': 8, 'England': 9, 'Northern Ireland': 3, 'Russia': 3}"
"Vorwärts Steyr","{'Austria': 88}"
"FC Dnipro-2 Dnipropetrovsk","{'Ukraine': 9}"
"Botafogo de Futebol e Regatas","{'Angola': 2, 'Argentina': 4, 'Brazil': 406, 'Ecuador': 2, 'Iran, Islamic Republic of': 3, 'Italy': 2, 'Jersey': 9, 'Nicaragua': 2, 'Portugal': 4, 'Paraguay': 6, 'Uruguay': 12, 'United States': 2, 'Venezuela, Bolivarian Republic of': 1, 'America': 24}"
"Barra Mansa Futebol Clube","{'Brazil': 10, 'America': 6}"
"New York Nationals (ASL)","{'India': 2, 'United States': 6, 'Scotland': 3, 'America': 24}"
"Everton F.C.","{'Argentina': 4, 'Australia': 9, 'Austria': 2, 'Belgium': 2, 'Brazil': 2, 'Chile': 22, 'Cyprus': 4, 'Spain': 4, 'France': 2, 'United Kingdom': 4, 'Indonesia': 2, 'India': 2, 'Ireland': 30, 'Iran, Islamic Republic of': 3, 'Iceland': 2, 'Jersey': 6, 'Jordan': 8, 'Lebanon': 2, 'Malaysia': 15, 'Netherlands': 2, 'New Zealand': 3, 'Singapore': 6, 'Thailand': 4, 'Trinidad and Tobago': 8, 'Uruguay': 4, 'South Africa': 2, 'England': 186, 'Scotland': 15, 'Wales': 36, 'Northern Ireland': 3, 'America': 12}"
"Jomo Cosmos","{'Congo': 2, 'Mozambique': 4, 'United States': 2, 'South Africa': 52, 'America': 3}"
"Stade Malherbe Caen","{'Germany': 2, 'Denmark': 2, 'Spain': 4, 'France': 52, 'Jersey': 6, 'Netherlands': 2, 'America': 3}"
"AS Cannes","{'Cameroon': 2, 'Czechia': 1, 'Algeria': 4, 'France': 58, 'Croatia': 6, 'Indonesia': 2, 'Italy': 2, 'Japan': 3, 'Mali': 4, 'Netherlands': 4, 'Tunisia': 2, 'America': 12, 'Yugoslavia': 6}"
":fr:Union sportive marocaine de Casablanca","{}"
"Raith Rovers F.C.","{'Brazil': 4, 'Germany': 2, 'Spain': 6, 'France': 4, 'United Kingdom': 4, 'Ireland': 3, 'Iceland': 2, 'Oman': 2, 'Thailand': 2, 'England': 3, 'Scotland': 144, 'Northern Ireland': 3, 'America': 3}"
"Manchester United F.C.","{'Argentina': 2, 'Germany': 2, 'France': 2, 'United Kingdom': 4, 'Gibraltar': 6, 'Jersey': 6, 'Jordan': 6, 'Japan': 3, 'Qatar': 2, 'Singapore': 10, 'Chad': 4, 'England': 48, 'America': 18, 'Russia': 12}"
"Sparta Považská Bystrica","{}"
"Austria Salzburg","{'Austria': 146, 'Germany': 2, 'Jersey': 12, 'England': 3}"
"Pisa SC","{'Argentina': 6, 'Belarus': 2, 'Brazil': 2, 'Denmark': 4, 'France': 2, 'Italy': 44, 'Netherlands': 2, 'England': 3}"
"Al Wehda FC","{'Georgia': 3, 'Moldova, Republic of': 1, 'Mali': 4, 'Oman': 2, 'Romania': 3, 'Saudi Arabia': 18}"
"FK Dinamo Pančevo","{'Serbia': 24, 'Yugoslavia': 9}"
"Freiburger FC","{'Switzerland': 4, 'Germany': 16}"
"Deportivo Juventud","{}"
"Thonon Évian F.C.","{'Switzerland': 2, 'France': 64, 'Jordan': 2}"
"Tokyo Verdy","{'Brazil': 2, 'Jersey': 6, 'Japan': 210, 'Mexico': 2, 'Qatar': 2}"
"Avaí FC","{'Brazil': 98, 'India': 18, 'Paraguay': 2, 'America': 12}"
"Royal Mouscron-Péruwelz","{'Belgium': 12, 'France': 14, 'Israel': 4, 'Luxembourg': 4, 'Peru': 22}"
"Club Atlético Vélez Sársfield","{'Argentina': 156, 'Brazil': 8, 'Chile': 12, 'Colombia': 4, 'Costa Rica': 2, 'Cuba': 2, 'Italy': 2, 'Jersey': 12, 'Japan': 3, 'Mexico': 2, 'Peru': 12, 'Paraguay': 4, 'Uruguay': 14, 'United States': 2, 'Venezuela, Bolivarian Republic of': 1, 'England': 6, 'America': 111}"
"Csepel SC","{'Hungary': 15, 'Oman': 2, 'Turkey': 6}"
"CS Fola Esch","{'Armenia': 4, 'Jordan': 2, 'Luxembourg': 86, 'Morocco': 4, 'Mali': 2, 'Montenegro': 3}"
"Everton de Viña del Mar","{'Argentina': 18, 'Australia': 3, 'Bolivia, Plurinational State of': 2, 'Brazil': 4, 'Chile': 176, 'Colombia': 2, 'Iran, Islamic Republic of': 1, 'Mexico': 2, 'Paraguay': 8, 'Slovakia': 4, 'Uruguay': 8, 'Venezuela, Bolivarian Republic of': 1, 'England': 6, 'America': 42, 'Yugoslavia': 6}"
"FC Slovan Liberec","{'Austria': 2, 'Azerbaijan': 2, 'Switzerland': 4, 'Cyprus': 4, 'Czechia': 6, 'Germany': 14, 'Spain': 10, 'France': 8, 'United Kingdom': 2, 'Georgia': 3, 'Greece': 4, 'Croatia': 4, 'Ireland': 3, 'Israel': 2, 'Italy': 8, 'Kazakhstan': 4, 'Liechtenstein': 2, 'Lithuania': 2, 'Latvia': 2, 'Netherlands': 10, 'Oman': 8, 'Portugal': 6, 'Romania': 12, 'Serbia': 4, 'Slovakia': 20, 'Sweden': 2, 'Ukraine': 3, 'England': 6, 'Russia': 6}"
"A.C. Legnano","{'Argentina': 2, 'Germany': 2, 'France': 6, 'Italy': 28, 'Netherlands': 2, 'Sweden': 2}"
"Nagoya Grampus","{'Argentina': 2, 'Australia': 9, 'Brazil': 10, 'Colombia': 2, 'France': 2, 'Iran, Islamic Republic of': 1, 'Jersey': 3, 'Japan': 141, 'Montenegro': 3, 'Serbia': 2, 'Yugoslavia': 15}"
"Stade Rennais F.C.","{'Austria': 2, 'Belgium': 2, 'Bulgaria': 2, 'Bosnia and Herzegovina': 4, 'Brazil': 6, 'Switzerland': 4, 'Cameroon': 2, 'Colombia': 2, 'Czechia': 1, 'Algeria': 8, 'Spain': 2, 'France': 180, 'Ghana': 2, 'Israel': 2, 'Jordan': 2, 'Morocco': 2, 'Mali': 2, 'Mozambique': 2, 'Niger': 2, 'Nigeria': 2, 'Poland': 2, 'Senegal': 12, 'Serbia': 2, 'Slovakia': 2, 'Sweden': 6, 'Tunisia': 2, 'Samoa': 2, 'America': 3, 'Russia': 3}"
"FC Sochaux-Montbéliard","{'Argentina': 2, 'Bosnia and Herzegovina': 4, 'Brazil': 2, 'Congo': 2, 'Germany': 2, 'Algeria': 2, 'France': 134, 'Hong Kong': 2, 'Croatia': 2, 'Iran, Islamic Republic of': 2, 'Luxembourg': 2, 'Morocco': 2, 'Monaco': 10, 'Senegal': 2, 'Uruguay': 2, 'Yugoslavia': 9}"
"Al Wahda FC","{'United Arab Emirates': 18, 'Austria': 8, 'Belgium': 2, 'Brazil': 2, 'Czechia': 2, 'Germany': 4, 'Egypt': 6, 'Spain': 4, 'France': 6, 'Croatia': 2, 'Iran, Islamic Republic of': 1, 'Mexico': 2, 'Netherlands': 24, 'Oman': 4, 'Portugal': 4, 'Romania': 6, 'Saudi Arabia': 2, 'Serbia': 4, 'South Africa': 2, 'Yugoslavia': 3, 'Turkey': 3}"
"Borussia Mönchengladbach II","{}"
"FK Pirmasens","{'Germany': 12}"
"Seattle Sounders (1974-83)","{'Brazil': 2, 'China': 2, 'United States': 7, 'England': 18, 'Scotland': 3, 'America': 153}"
"FK Poprad","{'Oman': 4, 'Slovakia': 30}"
"TSV Schwaben Augsburg","{'Germany': 14, 'Latvia': 2}"
"SpVgg Greuther Fürth","{'Switzerland': 2, 'Germany': 92, 'Ghana': 2, 'Croatia': 2, 'Hungary': 3, 'Morocco': 2, 'Niger': 4, 'Oman': 2, 'Philippines': 2, 'United States': 2, 'Samoa': 2, 'Russia': 3}"
"Municipal Goicoechea","{}"
"FC Vevey-Sports 05","{'Switzerland': 14, 'Yugoslavia': 3}"
"RSD Alcalá","{'Spain': 14}"
"Al-Rayyan Sports Club","{'Iraq': 6, 'Kuwait': 8, 'Netherlands': 2, 'Oman': 8, 'Qatar': 124, 'Sudan': 2}"
"Reconvilier","{'Switzerland': 30, 'France': 2, 'Liechtenstein': 4, 'Oman': 4}"
"Doncaster Rovers F.C.","{'Australia': 3, 'France': 2, 'United Kingdom': 2, 'Ireland': 9, 'Jersey': 3, 'Senegal': 2, 'England': 66, 'Scotland': 9, 'Wales': 12, 'Northern Ireland': 6}"
"CAM Timișoara","{'Austria': 4, 'Hungary': 6, 'Oman': 44, 'Romania': 57}"
"Panetolikos F.C.","{'Albania': 26, 'Argentina': 68, 'Australia': 6, 'Austria': 4, 'Belgium': 4, 'Benin': 4, 'Burkina Faso': 6, 'Bulgaria': 12, 'Bosnia and Herzegovina': 10, 'Belarus': 8, 'Bolivia, Plurinational State of': 3, 'Brazil': 32, 'Barbados': 3, 'Canada': 12, 'Switzerland': 4, 'Cameroon': 10, 'Congo': 13, 'Colombia': 6, 'Cyprus': 8, 'Germany': 14, 'Algeria': 8, 'Egypt': 4, 'Spain': 12, 'France': 32, 'Georgia': 15, 'Ghana': 4, 'Guinea': 10, 'Gambia': 4, 'Greece': 426, 'Honduras': 4, 'Croatia': 12, 'Hungary': 6, 'Iran, Islamic Republic of': 2, 'Israel': 2, 'Italy': 10, 'Jamaica': 3, 'Jordan': 2, 'Saint Kitts and Nevis': 3, 'Liberia': 6, 'Morocco': 4, 'Monaco': 4, 'Mexico': 4, 'Mali': 6, 'Montenegro': 12, 'Mozambique': 6, 'Niger': 10, 'Nigeria': 10, 'Netherlands': 4, 'Norway': 4, 'Oman': 16, 'Peru': 4, 'Poland': 8, 'Portugal': 36, 'Paraguay': 8, 'Romania': 18, 'Senegal': 12, 'Sierra Leone': 6, 'San Marino': 2, 'Serbia': 38, 'Suriname': 2, 'Slovakia': 6, 'Slovenia': 12, 'Sweden': 28, 'Uruguay': 4, 'United States': 2, 'Uzbekistan': 4, 'Venezuela, Bolivarian Republic of': 3, 'England': 18, 'America': 3, 'Turkey': 6}"
"Wormatia Worms","{'Germany': 12, 'Jersey': 3, 'America': 3}"
"Wuppertaler SV","{'Austria': 6, 'Germany': 28, 'Ecuador': 2, 'Iran, Islamic Republic of': 3, 'Italy': 2, 'Oman': 2, 'Russia': 24}"
"Gimnasia y Esgrima de La Plata","{'Argentina': 54, 'Brazil': 2, 'Chile': 2, 'Iran, Islamic Republic of': 1, 'Jersey': 6, 'Oman': 8, 'Peru': 2, 'Portugal': 2, 'Uruguay': 12, 'America': 12}"
"Pettirossi (Encarnación)","{}"
"UCD FC","{'Australia': 3, 'Bulgaria': 10, 'Brazil': 2, 'Canada': 6, 'China': 2, 'Cameroon': 2, 'Hong Kong': 2, 'India': 2, 'Ireland': 348, 'Jordan': 2, 'Kenya': 2, 'Luxembourg': 2, 'Macao': 2, 'Mexico': 2, 'Malaysia': 3, 'Norway': 2, 'New Zealand': 3, 'Philippines': 2, 'Poland': 2, 'Sudan': 2, 'Slovakia': 2, 'Taiwan, Province of China': 1, 'United States': 2, 'England': 9, 'Scotland': 6, 'America': 3}"
"Real Salt Lake","{'Argentina': 2, 'Brazil': 4, 'Canada': 6, 'Colombia': 2, 'Costa Rica': 2, 'Spain': 4, 'Croatia': 2, 'Jamaica': 3, 'Jersey': 39, 'Mexico': 2, 'Panama': 6, 'Slovakia': 2, 'United States': 12, 'England': 3, 'America': 66}"
"NK Primorje","{'Oman': 4, 'Slovenia': 38}"
"Cammell Laird 1907 F.C.","{'England': 15}"
"JSM Chéraga","{'Algeria': 16, 'Mali': 4, 'Oman': 2, 'Romania': 3}"
"Atlético Celaya","{'Argentina': 6, 'Brazil': 2, 'Chile': 2, 'Ecuador': 2, 'Spain': 8, 'Honduras': 4, 'Mexico': 10, 'Peru': 4}"
"FC Spartak Tambov","{'Russia': 24}"
"Hereford United F.C.","{'Albania': 2, 'Bermuda': 6, 'Canada': 6, 'Finland': 2, 'France': 2, 'Gambia': 2, 'Grenada': 3, 'Hungary': 3, 'Ireland': 24, 'Jamaica': 9, 'Kenya': 2, 'Saint Kitts and Nevis': 3, 'Montserrat': 6, 'Martinique': 3, 'Niger': 2, 'Nigeria': 2, 'New Zealand': 3, 'Poland': 2, 'Venezuela, Bolivarian Republic of': 1, 'England': 87, 'Scotland': 9, 'Wales': 57, 'Northern Ireland': 12, 'Russia': 3}"
"SV Harburg","{}"
