"NK TOŠK Tešanj","{'Bosnia and Herzegovina': 44}"
"APOEL F.C.","{'Albania': 2, 'Argentina': 2, 'Armenia': 2, 'Australia': 3, 'Austria': 2, 'Bosnia and Herzegovina': 2, 'Belarus': 2, 'Brazil': 2, 'Colombia': 2, 'Costa Rica': 2, 'Cyprus': 64, 'Czechia': 1, 'Germany': 2, 'Denmark': 2, 'Algeria': 2, 'Egypt': 2, 'France': 4, 'Faroe Islands': 3, 'Ghana': 2, 'Greece': 14, 'Croatia': 2, 'Hungary': 6, 'Ireland': 6, 'Iran, Islamic Republic of': 1, 'Israel': 2, 'Italy': 2, 'Jordan': 2, "Lao People's Democratic Republic": 1, 'Morocco': 2, 'North Macedonia': 2, 'Mali': 12, 'Niger': 2, 'Nigeria': 2, 'Netherlands': 2, 'Norway': 4, 'Oman': 4, 'Peru': 2, 'Poland': 2, 'Portugal': 6, 'Paraguay': 2, 'Romania': 3, 'Serbia': 2, 'Slovakia': 2, 'Slovenia': 2, 'Togo': 2, 'Tunisia': 2, 'England': 3, 'Northern Ireland': 3}"
"TSV Schwaben Augsburg","{'Germany': 14, 'Latvia': 2}"
"Saba Battery F.C.","{'Iran, Islamic Republic of': 26}"
"Real Valladolid","{'Argentina': 22, 'Brazil': 16, 'Chile': 12, 'Colombia': 4, 'Germany': 2, 'Spain': 22, 'France': 2, 'Ghana': 2, 'Croatia': 6, 'Hungary': 15, 'Israel': 6, 'Monaco': 4, 'Malta': 2, 'Portugal': 2, 'Paraguay': 2, 'Qatar': 2, 'Serbia': 2, 'Uruguay': 8, 'Yugoslavia': 3}"
"CD Leganés","{'Argentina': 14, 'Chile': 2, 'Cameroon': 6, 'Denmark': 2, 'Spain': 90, 'France': 2, 'Guinea': 4, 'Equatorial Guinea': 4, 'Greece': 2, 'Iran, Islamic Republic of': 1, 'Morocco': 6, 'Mexico': 4, 'Niger': 4, 'Nigeria': 4, 'Portugal': 4, 'Saudi Arabia': 2, 'Tunisia': 2, 'Uruguay': 4, 'Venezuela, Bolivarian Republic of': 1, 'England': 3}"
"Ipswich Town F.C.","{'Germany': 4, 'United Kingdom': 4, 'Croatia': 4, 'Ireland': 6, 'Iraq': 6, 'Jordan': 2, 'Japan': 3, 'England': 78, 'Northern Ireland': 6}"
"Boston Minutemen","{'Croatia': 2, 'United States': 2, 'England': 3, 'America': 33}"
"Reggina 1914","{'France': 22, 'Italy': 12, 'Peru': 4}"
"US Lecce","{'Anguilla': 3, 'Albania': 12, 'Argentina': 12, 'Bulgaria': 6, 'Colombia': 12, 'France': 22, 'Gabon': 6, 'Greece': 6, 'Italy': 66, 'Montenegro': 12, 'Oman': 6, 'Romania': 9, 'Serbia': 6, 'Slovenia': 6, 'Uruguay': 12, 'Yugoslavia': 3}"
"Al-Taawoun FC","{'United Arab Emirates': 3, 'Iran, Islamic Republic of': 1, 'Mali': 2, 'Oman': 2, 'Qatar': 2, 'Saudi Arabia': 24, 'Syrian Arab Republic': 2, 'Uzbekistan': 2}"
"CD Eldense","{'Argentina': 2, 'Spain': 32, 'Iran, Islamic Republic of': 6, 'Philippines': 2}"
"NK Olimpija Ljubljana","{'Austria': 8, 'Bosnia and Herzegovina': 4, 'Spain': 2, 'Croatia': 8, 'Ireland': 3, 'Iran, Islamic Republic of': 3, 'Italy': 2, 'Luxembourg': 2, 'Norway': 2, 'Oman': 18, 'Portugal': 2, 'Serbia': 12, 'Slovenia': 353, 'America': 3, 'Yugoslavia': 3}"
"Szegedi AK","{'Hungary': 18}"
"1. FC Kaiserslautern","{'Germany': 24, 'Scotland': 3}"
"FC Locarno","{'Switzerland': 22, 'Czechia': 1, 'Germany': 2, 'Hungary': 3, 'Italy': 4}"
"Stăruința Oradea","{'Austria': 2, 'Hungary': 3, 'Oman': 40, 'Romania': 60}"
"Instituto Atlético Central Córdoba","{'Argentina': 74, 'Paraguay': 2, 'Uruguay': 2}"
"Club Atlético Piraña","{'Argentina': 6, 'Iran, Islamic Republic of': 9, 'Italy': 2, 'Jersey': 6, 'America': 3}"
"Azul Claro Numazu","{'Iran, Islamic Republic of': 1, 'Jersey': 9, 'Japan': 81}"
"Næstved BK","{'Denmark': 32, 'Spain': 2, 'Finland': 8, 'Ireland': 3, 'Iran, Islamic Republic of': 1, 'Norway': 4, 'Sweden': 4, 'England': 3, 'Northern Ireland': 3}"
"FC Moutier","{}"
"L.R. Vicenza Virtus","{'Austria': 2, 'Brazil': 4, 'Germany': 2, 'Denmark': 2, 'France': 10, 'Hungary': 12, 'Italy': 128, 'Jersey': 6, 'Luxembourg': 2, 'Mali': 6, 'Oman': 2}"
"K.S.K. Tongeren","{'Belgium': 12}"
"RCD Mallorca","{'Argentina': 4, 'Chile': 2, 'Cameroon': 4, 'Czechia': 1, 'Spain': 32, 'Iran, Islamic Republic of': 2, 'Israel': 2, 'Italy': 2, 'Morocco': 2, 'Norway': 2, 'Portugal': 2, 'Uruguay': 2, 'Venezuela, Bolivarian Republic of': 2, 'America': 3, 'Yugoslavia': 3}"
"Bohemians 1905","{'Australia': 42, 'Austria': 2, 'Czechia': 8, 'Hungary': 3, 'Sri Lanka': 4, 'Oman': 6, 'Slovakia': 4, 'Wales': 12}"
"Bangor F.C.","{'Cyprus': 2, 'Ireland': 72, 'Jordan': 2, 'Slovakia': 4, 'England': 6, 'Scotland': 12, 'Northern Ireland': 63}"
"AC Ancona","{'Argentina': 2, 'Australia': 6, 'Brazil': 4, 'Denmark': 2, 'France': 2, 'Gabon': 2, 'Croatia': 6, 'Hungary': 6, 'Italy': 36, 'Oman': 2, 'Peru': 4, 'Poland': 2, 'Senegal': 2, 'Slovakia': 2, 'Sweden': 2, 'Uruguay': 2}"
"Gisborne City AFC","{'Spain': 4, 'Jersey': 6, 'New Zealand': 81, 'England': 6}"
"VfR Neuss","{}"
"C.D. Jorge Wilstermann","{'Argentina': 34, 'Belgium': 2, 'Bolivia, Plurinational State of': 55, 'Brazil': 4, 'Chile': 8, 'Colombia': 8, 'Spain': 2, 'Portugal': 2, 'Chad': 4, 'Uruguay': 4, 'America': 15}"
"Bologna F.C. 1909","{'Austria': 4, 'France': 12, 'Italy': 22, 'Luxembourg': 2, 'Oman': 2, 'America': 6}"
"1. Simmeringer SC","{'Austria': 30, 'Hungary': 3}"
"Club Tijuana","{'Argentina': 2, 'Colombia': 6, 'Jersey': 9, 'Mexico': 20, 'Oman': 2, 'America': 3}"
"FC Brașov (1936)","{'Mexico': 2, 'Oman': 40, 'Romania': 54, 'Uruguay': 4}"
"San Antonio Unido","{'Chile': 78}"
"Club Puebla","{'Argentina': 24, 'Austria': 4, 'Brazil': 20, 'Chile': 20, 'Colombia': 2, 'Costa Rica': 2, 'Spain': 22, 'Guatemala': 2, 'Jersey': 9, 'Mexico': 126, 'Oman': 2, 'Peru': 2, 'Palau': 2, 'Paraguay': 2, 'Trinidad and Tobago': 4, 'Uruguay': 24, 'Venezuela, Bolivarian Republic of': 1, 'America': 42, 'Yugoslavia': 3}"
"Newport County A.F.C.","{'Argentina': 2, 'Germany': 2, 'United Kingdom': 8, 'Ireland': 6, 'Norway': 2, 'England': 15, 'Scotland': 3, 'Wales': 228, 'Northern Ireland': 6, 'America': 6}"
"First Vienna","{'Austria': 104, 'Germany': 10, 'Hungary': 9, 'Mauritius': 2}"
"Admira Energie","{'Austria': 168, 'Azerbaijan': 2, 'Belgium': 4, 'Bulgaria': 2, 'Switzerland': 2, 'Cyprus': 2, 'Czechia': 2, 'Germany': 10, 'Denmark': 2, 'Finland': 2, 'France': 2, 'Croatia': 8, 'Hungary': 6, 'Iran, Islamic Republic of': 2, 'Italy': 6, 'Lithuania': 2, 'Mali': 2, 'Poland': 8, 'Slovakia': 4, 'Slovenia': 4, 'Tajikistan': 2, 'Ukraine': 3, 'England': 3, 'Wales': 3, 'Yugoslavia': 3}"
"Cobreloa","{'Brazil': 2, 'Chile': 292, 'Germany': 2, 'Iran, Islamic Republic of': 1, 'Montenegro': 3, 'Netherlands': 4, 'Chad': 2, 'Uruguay': 8, 'United States': 2, 'America': 15}"
"Union Weißkirchen","{}"
"Luzenac AP","{'France': 8}"
"C.A. Cerro","{'Argentina': 2, 'Brazil': 2, 'Canada': 3, 'Chile': 2, 'Oman': 2, 'Peru': 2, 'Romania': 3, 'Uruguay': 100, 'United States': 2, 'South Africa': 6, 'America': 18}"
"FK Drnovice","{'Switzerland': 4, 'Czechia': 8, 'Slovakia': 6}"
"Chamois Niortais F.C.","{'China': 14, 'France': 78, 'Jersey': 9, 'Slovakia': 4}"
"FC Girondins de Bordeaux","{'Argentina': 4, 'Germany': 2, 'Spain': 2, 'France': 112, 'Gabon': 2, 'Morocco': 4, 'Monaco': 4, 'Mali': 4, 'Netherlands': 4, 'Oman': 2, 'Portugal': 2, 'Romania': 3, 'Thailand': 2, 'America': 9, 'Yugoslavia': 3}"
"Toronto Blizzard (NASL)","{'Bermuda': 3, 'Canada': 18, 'Cayman Islands': 3, 'France': 4, 'Croatia': 22, 'Ireland': 3, 'Jersey': 15, 'Niger': 2, 'Nigeria': 2, 'Peru': 4, 'Portugal': 2, 'Scotland': 3, 'Northern Ireland': 3, 'America': 33, 'Yugoslavia': 12}"
"S.S.C. Bari","{'Andorra': 4, 'Brazil': 2, 'France': 28, 'Italy': 14, 'Malaysia': 6}"
"A.C. Milan","{'Austria': 2, 'Brazil': 2, 'Switzerland': 2, 'Colombia': 6, 'Germany': 4, 'Egypt': 2, 'Spain': 2, 'France': 6, 'Iran, Islamic Republic of': 4, 'Italy': 54, 'Jersey': 15, 'Luxembourg': 6, 'Mali': 2, 'Netherlands': 2, 'Oman': 2, 'Peru': 14, 'Romania': 3, 'Sweden': 6, 'United States': 2, 'America': 9}"
"Racing Strasbourg","{'Armenia': 2, 'Austria': 6, 'Switzerland': 2, 'Germany': 10, 'Spain': 6, 'France': 132, 'India': 6, 'Italy': 2, 'Jersey': 15, 'Luxembourg': 4, 'Monaco': 6, 'Mali': 4, 'Netherlands': 4, 'Paraguay': 8, 'Chad': 4, 'America': 6, 'Yugoslavia': 6}"
"Al Ittihad FC","{'United Arab Emirates': 3, 'Argentina': 24, 'Australia': 6, 'Austria': 2, 'Belgium': 14, 'Bahrain': 2, 'Bosnia and Herzegovina': 2, 'Brazil': 98, 'Chile': 18, 'China': 10, 'Cameroon': 4, 'Congo': 2, 'Colombia': 2, 'Costa Rica': 2, 'Germany': 4, 'Algeria': 4, 'Egypt': 28, 'Spain': 12, 'France': 8, 'Georgia': 3, 'Ghana': 14, 'Guinea': 6, 'Croatia': 22, 'Hungary': 12, 'Iran, Islamic Republic of': 10, 'Iraq': 2, 'Italy': 6, 'Jordan': 2, 'Japan': 18, 'Korea, Republic of': 7, 'Kuwait': 12, 'Lebanon': 2, 'Morocco': 4, 'Monaco': 6, 'Mexico': 2, 'Mali': 2, 'Niger': 4, 'Nigeria': 4, 'Netherlands': 6, 'Oman': 28, 'Peru': 6, 'Poland': 2, 'Portugal': 12, 'Qatar': 20, 'Romania': 33, 'Saudi Arabia': 258, 'Sierra Leone': 4, 'Serbia': 4, 'Slovenia': 6, 'Sweden': 4, 'Syrian Arab Republic': 2, 'Tunisia': 20, 'Uruguay': 4, 'Uzbekistan': 16, 'Venezuela, Bolivarian Republic of': 2, 'South Africa': 2, 'England': 9, 'America': 3, 'Yugoslavia': 3, 'South Korea': 21}"
"Raja Casablanca","{'Burkina Faso': 3, 'Brazil': 2, 'Central African Republic': 3, 'Switzerland': 2, 'Cameroon': 4, 'Congo': 4, 'Germany': 2, 'Algeria': 6, 'Egypt': 12, 'France': 30, 'Jersey': 15, 'Korea, Republic of': 1, 'Kuwait': 6, 'Libya': 6, 'Morocco': 250, 'Qatar': 2, 'Saudi Arabia': 2, 'Chad': 12, 'Tunisia': 14, 'Tanzania, United Republic of': 1, 'Venezuela, Bolivarian Republic of': 1, 'South Africa': 10, 'Zambia': 2, 'America': 3, 'South Korea': 3}"
"Club Sportivo Buenos Aires","{'Argentina': 12, 'Uruguay': 2, 'America': 3}"
"San Jose Earthquakes","{'Argentina': 2, 'Canada': 24, 'Switzerland': 2, 'Chile': 2, 'Germany': 4, 'Spain': 2, 'Georgia': 3, 'Ireland': 6, 'Jersey': 66, 'Jordan': 2, 'Mexico': 4, 'El Salvador': 2, 'Serbia': 2, 'Sweden': 6, 'United States': 30, 'England': 12, 'Scotland': 6, 'America': 39, 'Yugoslavia': 3}"
"PAS Lamia 1964","{'Greece': 66, "Lao People's Democratic Republic": 1}"
"NK Lokomotiva Zagreb","{'Croatia': 128, 'Yugoslavia': 9}"
"Chicago Horizon","{'Jersey': 18, 'United States': 2, 'America': 6}"
"PEC Zwolle","{'Austria': 2, 'China': 2, 'Czechia': 3, 'Germany': 6, 'Finland': 2, 'Hungary': 3, 'Iran, Islamic Republic of': 1, 'Israel': 2, 'Japan': 3, 'Netherlands': 194, 'Oman': 2, 'Poland': 2, 'Portugal': 2, 'Romania': 3, 'Serbia': 2, 'Sweden': 4}"
"Levante UD","{'Argentina': 4, 'Australia': 3, 'Austria': 2, 'Bulgaria': 2, 'Brazil': 6, 'Switzerland': 2, 'Chile': 2, 'Cameroon': 8, 'Congo': 2, 'Colombia': 4, 'Costa Rica': 2, 'Germany': 2, 'Algeria': 4, 'Ecuador': 4, 'Spain': 92, 'France': 8, 'Georgia': 3, 'Ghana': 4, 'Guinea': 6, 'Equatorial Guinea': 6, 'Greece': 8, 'Croatia': 2, 'Ireland': 3, 'Italy': 4, "Lao People's Democratic Republic": 1, 'Morocco': 8, 'Mexico': 2, 'Mali': 2, 'Mozambique': 2, 'Niger': 2, 'Nigeria': 2, 'Netherlands': 6, 'Poland': 2, 'Portugal': 2, 'Saudi Arabia': 2, 'Senegal': 8, 'Serbia': 2, 'Sweden': 4, 'Chad': 2, 'Uruguay': 8, 'United States': 4, 'Venezuela, Bolivarian Republic of': 1, 'Scotland': 3, 'Yugoslavia': 3, 'Turkey': 3}"
"Ventura County Fusion","{'Jordan': 2, 'United States': 2, 'England': 3, 'Scotland': 3, 'America': 9}"
"Yverdon-Sport FC","{'Switzerland': 10, 'France': 2}"
"FC Bern","{'Switzerland': 14}"
"Unión San Felipe","{'Chile': 58, 'Ecuador': 2, 'Iran, Islamic Republic of': 2, 'America': 12}"
"Miami Fusion","{'Argentina': 2, 'Brazil': 2, 'Colombia': 8, 'Jersey': 3, 'United States': 6, 'England': 6, 'America': 12}"
"Brentwood Town F.C.","{'Ireland': 3, 'England': 72, 'Wales': 3, 'Northern Ireland': 3}"
"Seven Stars (South African soccer club)","{'South Africa': 12, 'America': 3}"
"Kalmar FF","{'Austria': 2, 'Azerbaijan': 2, 'Belgium': 2, 'Bulgaria': 2, 'Brazil': 8, 'Denmark': 4, 'France': 2, 'Hungary': 9, 'Ireland': 3, 'Luxembourg': 8, 'Niger': 2, 'Nigeria': 2, 'Portugal': 2, 'Sweden': 88, 'England': 3, 'Wales': 3}"
"Real Zaragoza","{'Argentina': 42, 'Austria': 2, 'Bulgaria': 4, 'Belarus': 2, 'Brazil': 14, 'Chile': 4, 'China': 4, 'Colombia': 4, 'Cuba': 2, 'Czechia': 1, 'Germany': 2, 'Spain': 268, 'France': 8, 'Croatia': 6, 'Hungary': 6, 'Iran, Islamic Republic of': 2, 'Italy': 4, 'Japan': 3, 'Mexico': 6, 'Montenegro': 6, 'Niger': 2, 'Nigeria': 2, 'Netherlands': 4, 'Oman': 6, 'Peru': 6, 'Poland': 2, 'Portugal': 12, 'Paraguay': 8, 'Romania': 9, 'Serbia': 10, 'Slovakia': 2, 'Sweden': 2, 'Uruguay': 10, 'Yugoslavia': 15}"
"Deportes Progreseño","{'Honduras': 16}"
"Blackpool F.C.","{'Australia': 3, 'Austria': 2, 'Belgium': 6, 'Congo': 2, 'Costa Rica': 4, 'Algeria': 2, 'Estonia': 2, 'United Kingdom': 6, 'Ghana': 2, 'Hong Kong': 2, 'Hungary': 15, 'Ireland': 30, 'Iceland': 2, 'Jamaica': 3, 'Jordan': 10, 'Latvia': 2, 'Mali': 2, 'Netherlands': 4, 'Sierra Leone': 2, 'Ukraine': 3, 'England': 66, 'Scotland': 12, 'Wales': 12, 'Northern Ireland': 12}"
"Čechoslovan Košíře","{}"
"HAŠK Zagreb","{'Croatia': 36, 'Hungary': 3, 'Montenegro': 3, 'Serbia': 2, 'Slovakia': 2, 'Yugoslavia': 24}"
"FC Hradec Králové{{efn","{}"
"A.C. ChievoVerona","{'Albania': 4, 'Argentina': 2, 'Bulgaria': 6, 'Switzerland': 2, 'Chile': 2, 'Congo': 5, 'Colombia': 2, 'Germany': 2, 'Finland': 4, 'France': 2, 'Ghana': 2, 'Greece': 4, 'Italy': 52, 'Mali': 2, 'Montenegro': 6, 'Niger': 4, 'Nigeria': 4, 'Netherlands': 2, 'Peru': 2, 'Poland': 2, 'Portugal': 2, 'Paraguay': 2, 'Senegal': 2, 'Serbia': 4, 'Slovakia': 2, 'Slovenia': 6, 'Sweden': 4, 'Togo': 4, 'United States': 2}"
"HŠK Zrinjski Mostar","{'Austria': 2, 'Bulgaria': 2, 'Bosnia and Herzegovina': 208, 'Canada': 3, 'Germany': 2, 'Croatia': 28, 'Hungary': 3, 'Iran, Islamic Republic of': 2, 'Iceland': 2, 'Israel': 2, 'Jersey': 3, 'Luxembourg': 2, 'Montenegro': 3, 'Serbia': 2, 'Sweden': 2, 'Yugoslavia': 21}"
"Tranmere Rovers F.C.","{'United Kingdom': 4, 'Ireland': 9, 'Jamaica': 3, 'Jordan': 2, 'England': 75, 'Scotland': 3, 'Wales': 21}"
"Deportivo Saprissa","{'Argentina': 10, 'Australia': 3, 'Brazil': 14, 'Chile': 4, 'China': 4, 'Colombia': 2, 'Costa Rica': 208, 'Czechia': 1, 'Germany': 4, 'Dominica': 8, 'Spain': 6, 'United Kingdom': 8, 'Guatemala': 2, 'Italy': 4, 'Jersey': 12, 'Japan': 6, 'Korea, Republic of': 1, 'Mexico': 16, 'Peru': 4, 'Saudi Arabia': 2, 'Slovakia': 2, 'Uruguay': 12, 'United States': 10, 'America': 42, 'South Korea': 3}"
"US Salernitana 1919","{'Albania': 2, 'Argentina': 2, 'Australia': 3, 'Austria': 2, 'Bosnia and Herzegovina': 2, 'Switzerland': 2, 'Chile': 2, 'Cameroon': 2, 'Cyprus': 2, 'France': 10, 'Croatia': 2, 'Italy': 14, 'Jamaica': 3, 'Mexico': 2, 'Mali': 2, 'Niger': 6, 'Nigeria': 6, 'Netherlands': 2, 'Norway': 2, 'Oman': 4, 'Peru': 6, 'Poland': 2, 'Romania': 3, 'Senegal': 2, 'Serbia': 2, 'Slovakia': 2, 'Slovenia': 2, 'Sweden': 2, 'Tunisia': 2, 'Uruguay': 2, 'South Africa': 2, 'Turkey': 3}"
"NK Lokomotiva","{'Croatia': 128, 'Yugoslavia': 9}"
"NK Maribor","{'Albania': 4, 'Austria': 2, 'Brazil': 4, 'Croatia': 4, 'Iran, Islamic Republic of': 1, 'Jersey': 3, 'Mali': 2, 'Malta': 2, 'Oman': 44, 'Portugal': 2, 'Slovenia': 500, 'Syrian Arab Republic': 3, 'Yugoslavia': 48}"
"Portland Timbers (NASL)","{'Canada': 6, 'Guatemala': 2, 'Ireland': 3, 'Jersey': 21, 'Korea, Republic of': 2, 'United States': 8, 'England': 21, 'Scotland': 3, 'Wales': 3, 'America': 117, 'South Korea': 6}"
"SK Brann","{'Austria': 4, 'France': 2, 'Iceland': 2, 'Jamaica': 3, 'Mali': 2, 'Netherlands': 4, 'Norway': 62, 'Poland': 4, 'Senegal': 2, 'Sweden': 2}"
"Poole Town F.C.","{'Virgin Islands, British': 2, 'England': 15}"
"Legia Warsaw","{'Antarctica': 3, 'Australia': 3, 'Austria': 8, 'Belarus': 2, 'China': 2, 'Colombia': 2, 'Costa Rica': 2, 'Germany': 2, 'Denmark': 2, 'Ecuador': 2, 'Spain': 8, 'France': 2, 'Greece': 4, 'Croatia': 2, 'Hungary': 3, 'Indonesia': 2, 'Ireland': 3, 'Italy': 4, 'Jordan': 2, 'Korea, Republic of': 1, 'Lithuania': 4, 'Netherlands': 6, 'Norway': 2, 'Oman': 12, 'Poland': 64, 'Portugal': 2, 'Romania': 6, 'Serbia': 8, 'Slovakia': 4, 'Sweden': 2, 'England': 3, 'Northern Ireland': 3, 'America': 3, 'Yugoslavia': 3, 'South Korea': 3}"
"FK Mačva Šabac","{'Colombia': 2, 'Greece': 2, 'Mongolia': 27, 'Serbia': 66, 'Uruguay': 22, 'Yugoslavia': 30}"
"Colón de Santa Fe","{'Argentina': 100, 'Chile': 4, 'Paraguay': 2, 'Uruguay': 6, 'America': 27}"
"Raftery's","{}"
"AC Parma","{'Albania': 6, 'China': 4, 'Cyprus': 2, 'France': 8, 'India': 2, 'Italy': 62, 'Oman': 2, 'America': 6}"
"Shenyang Ginde","{'Australia': 9, 'Brazil': 4, 'China': 108, 'Congo': 2, 'France': 2, 'Hong Kong': 12, 'Israel': 12, 'Korea, Republic of': 1, 'Morocco': 2, 'Montenegro': 3, 'Niger': 2, 'Nigeria': 2, 'Netherlands': 6, 'Oman': 2, 'Poland': 2, 'Portugal': 2, 'Romania': 3, 'Singapore': 2, 'Serbia': 10, 'Sweden': 4, 'Ukraine': 3, 'England': 6, 'America': 3, 'South Korea': 3}"
"A.C. Reggiana 1919","{'Austria': 14, 'Belgium': 2, 'Benin': 2, 'Brazil': 4, 'Colombia': 2, 'Czechia': 1, 'Germany': 2, 'Spain': 2, 'France': 14, 'Gabon': 2, 'Georgia': 3, 'Ghana': 2, 'Croatia': 2, 'Hungary': 6, 'Italy': 102, 'Jersey': 3, 'Morocco': 2, 'Monaco': 2, 'Montenegro': 3, 'Niger': 4, 'Nigeria': 4, 'Oman': 14, 'Portugal': 2, 'Romania': 3, 'Sweden': 2, 'Venezuela, Bolivarian Republic of': 1, 'England': 3, 'America': 3}"
"Stevenage F.C.","{'Antigua and Barbuda': 3, 'United Kingdom': 2, 'Guyana': 2, 'Ireland': 3, 'Jordan': 4, 'Tunisia': 6, 'England': 105, 'Scotland': 9, 'Wales': 3, 'Northern Ireland': 3}"
"Al-Ahli (Doha)","{'Bahrain': 2, 'Spain': 2, 'India': 2, 'Kuwait': 2, 'Montenegro': 3, 'Qatar': 54, 'Sudan': 4}"
"Sport Club Internacional","{'United Arab Emirates': 3, 'Argentina': 4, 'Brazil': 78, 'Canada': 3, 'Switzerland': 2, 'Chile': 6, 'Congo': 2, 'Colombia': 2, 'Costa Rica': 2, 'Germany': 2, 'Ecuador': 4, 'Spain': 6, 'Italy': 2, 'Japan': 9, 'Mexico': 12, 'Paraguay': 4, 'Chad': 2, 'Uruguay': 6, 'Venezuela, Bolivarian Republic of': 1, 'Scotland': 3, 'America': 96, 'Yugoslavia': 3}"
"SC Hinteregger","{}"
"Alianza Lima","{'Argentina': 12, 'Brazil': 14, 'Switzerland': 2, 'Chile': 16, 'Colombia': 14, 'Cuba': 2, 'Ecuador': 4, 'Spain': 2, 'Georgia': 3, 'Greece': 2, 'Jersey': 6, 'Mexico': 2, 'Oman': 2, 'Panama': 4, 'Peru': 500, 'Paraguay': 4, 'Syrian Arab Republic': 1, 'Chad': 2, 'Uruguay': 30, 'Venezuela, Bolivarian Republic of': 6, 'America': 39, 'Yugoslavia': 3}"
"Catania Calcio","{'Australia': 3, 'Brazil': 2, 'France': 12, 'Italy': 16, 'Monaco': 2, 'Mali': 2, 'United States': 2, 'America': 3}"
"Hallelujah FC","{'Korea, Republic of': 7, 'South Korea': 21}"
"F.C. Internazionale Milano","{'Austria': 2, 'Brazil': 8, 'China': 4, 'Spain': 2, 'France': 8, 'Hong Kong': 8, 'Indonesia': 10, 'Iran, Islamic Republic of': 2, 'Italy': 48, 'Jersey': 30, 'Luxembourg': 2, 'Mali': 6, 'Oman': 2, 'Peru': 4, 'England': 3, 'Wales': 3, 'America': 3}"
"Omiya Ardija","{'Japan': 120, 'Korea, Republic of': 1, 'Netherlands': 6, 'Slovenia': 2, 'South Korea': 3}"
"Paulista Futebol Clube","{'Brazil': 14, 'America': 3}"
"Atlético Saquisilí","{}"
"Atlante F.C.","{'United Arab Emirates': 3, 'Argentina': 28, 'Brazil': 6, 'Chile': 4, 'China': 2, 'Colombia': 2, 'Costa Rica': 6, 'Ecuador': 2, 'Spain': 4, 'France': 6, 'Hungary': 9, 'Iran, Islamic Republic of': 1, 'Israel': 2, 'Jersey': 3, 'Mexico': 100, 'Peru': 2, 'El Salvador': 2, 'Suriname': 4, 'Uruguay': 12, 'United States': 2, 'Venezuela, Bolivarian Republic of': 2, 'England': 6, 'America': 24}"
"U.C. AlbinoLeffe","{'France': 4, 'Italy': 12, 'Singapore': 4}"
"Puntarenas FC","{'Costa Rica': 30, 'Iran, Islamic Republic of': 1, 'America': 6}"
"Woodford Town F.C. (1937)","{'England': 12}"
"Saipa F.C.","{'Germany': 4, 'Iran, Islamic Republic of': 73, 'Italy': 2, 'Turkey': 3}"
"Etoile Carouge","{'Switzerland': 8}"
"Neptunus","{'Netherlands': 10}"
"NK Zadar","{'Bosnia and Herzegovina': 4, 'Croatia': 270, 'Yugoslavia': 6}"
"Esporte Clube Noroeste","{'Brazil': 16, 'America': 6}"
"FC Dunav Ruse","{'Bulgaria': 230, 'Ghana': 2, 'Italy': 2, 'Kazakhstan': 2, 'Lebanon': 2, 'Tajikistan': 4, 'Turkmenistan': 3}"
"Grasshopper Club Zürich","{'Albania': 4, 'Argentina': 8, 'Austria': 14, 'Bulgaria': 2, 'Bosnia and Herzegovina': 4, 'Switzerland': 138, 'China': 4, 'Germany': 24, 'Ecuador': 2, 'Estonia': 2, 'France': 2, 'Guinea': 2, 'Hong Kong': 2, 'Croatia': 2, 'Hungary': 9, 'Iran, Islamic Republic of': 1, 'Italy': 2, 'Japan': 6, 'Moldova, Republic of': 1, 'Niger': 4, 'Nigeria': 4, 'Netherlands': 4, 'New Zealand': 3, 'Oman': 8, 'Peru': 2, 'Poland': 2, 'Portugal': 4, 'Romania': 9, 'Senegal': 4, 'Slovakia': 2, 'Sweden': 6, 'Zimbabwe': 2, 'England': 3, 'Scotland': 3, 'Yugoslavia': 12}"
"FC Zimbru Chişinău","{'Bulgaria': 2, 'Iran, Islamic Republic of': 1, 'Moldova, Republic of': 93, 'Oman': 2, 'Romania': 3}"
"Sportivo Barracas","{'Argentina': 22, 'Jersey': 3, 'Uruguay': 20, 'America': 12}"
"U.S. Foggia","{'Benin': 6, 'China': 4, 'France': 6, 'Italy': 28, 'Oman': 14, 'Wales': 6}"
"TSV 1861 Nördlingen","{'Germany': 4}"
"RC Strasbourg Alsace","{'Armenia': 2, 'Austria': 6, 'Switzerland': 2, 'Germany': 10, 'Spain': 6, 'France': 132, 'India': 6, 'Italy': 2, 'Jersey': 15, 'Luxembourg': 4, 'Monaco': 6, 'Mali': 4, 'Netherlands': 4, 'Paraguay': 8, 'Chad': 4, 'America': 6, 'Yugoslavia': 6}"
"PFC Nyva Vinnytsia","{'Switzerland': 2, 'Oman': 4, 'Ukraine': 48}"
"Rocha F.C.","{'Chad': 2, 'Uruguay': 32}"
"Odisha FC","{'Bangladesh': 2, 'Brazil': 18, 'Spain': 2, 'India': 316, 'Iran, Islamic Republic of': 1, 'Jersey': 3, 'Maldives': 2, 'Portugal': 2}"
